Date,Mkt-RF,SMB,HML,RF
2020-05-14,1.14,-1.51,0.94,0
2020-05-15,0.57,1.61,-1.15,0
2020-05-18,3.24,1.56,4.61,0
2020-05-19,-1.01,-0.54,-1.49,0
2020-05-20,1.8,1.09,1.32,0
2020-05-21,-0.7,0.62,0.4,0
2020-05-22,0.27,0.47,-0.85,0
2020-05-26,1.23,0.08,4.56,0
2020-05-27,1.54,0.64,3.62,0
2020-05-28,-0.41,-1.53,-2.43,0
2020-05-29,0.6,-0.29,-1.97,0
2020-06-01,0.52,-0.04,0.42,0
2020-06-02,0.81,-0.09,0.54,0
2020-06-03,1.41,0.14,2.62,0
2020-06-04,-0.34,-0.23,2.89,0
2020-06-05,2.5,0.66,2.76,0
2020-06-08,1.39,0.36,2.08,0
2020-06-09,-0.85,-0.24,-1.92,0
2020-06-10,-0.56,-0.86,-4.1,0
2020-06-11,-5.91,-0.81,-3.05,0
2020-06-12,1.29,0.3,1.83,0
2020-06-15,1.1,1.47,-0.4,0
2020-06-16,1.87,0.6,0.51,0
2020-06-17,-0.4,-0.9,-1.98,0
2020-06-18,0.19,0.1,-0.53,0
2020-06-19,-0.45,0.09,-0.65,0
2020-06-22,0.71,0.85,-1.38,0
2020-06-23,0.42,0.17,-0.61,0
2020-06-24,-2.61,-0.45,-1.35,0
2020-06-25,1.12,0.24,0.5,0
2020-06-26,-2.44,0.11,-1.41,0
2020-06-29,1.51,1.25,1.84,0
2020-06-30,1.58,0.08,0.02,0
2020-07-01,0.41,-1.28,-2.56,0.001
2020-07-02,0.5,-0.02,-0.13,0.001
2020-07-06,1.65,-0.63,0.33,0.001
2020-07-07,-1.03,-0.51,-1.48,0.001
2020-07-08,0.91,0.29,-0.46,0.001
2020-07-09,-0.53,-0.93,-2.61,0.001
2020-07-10,1.11,-0.06,3.05,0.001
2020-07-13,-1.2,-0.77,2.04,0.001
2020-07-14,1.35,0.43,-0.28,0.001
2020-07-15,1.14,2.43,1.26,0.001
2020-07-16,-0.37,-0.35,0.81,0.001
2020-07-17,0.3,0.17,-1.43,0.001
2020-07-20,1.01,-0.46,-2.36,0.001
2020-07-21,0.16,0.87,3.23,0.001
2020-07-22,0.49,-0.61,-0.38,0.001
2020-07-23,-1.2,0.73,1.96,0.001
2020-07-24,-0.75,-0.82,0.45,0.001
2020-07-27,0.88,0.77,-2,0.001
2020-07-28,-0.81,-0.72,1.01,0.001
2020-07-29,1.35,0.46,0.84,0.001
2020-07-30,-0.29,0.49,-1.83,0.001
2020-07-31,0.61,-1.59,-0.66,0.001
2020-08-03,0.98,1.22,-0.84,0
2020-08-04,0.37,0.47,0.02,0
2020-08-05,0.78,1.04,0.82,0
2020-08-06,0.53,-0.49,-0.75,0
2020-08-07,0.02,0.92,2.41,0
2020-08-10,0.24,0.86,1.75,0
2020-08-11,-0.83,-0.33,1.63,0
2020-08-12,1.4,-0.48,-1.37,0
2020-08-13,-0.01,0.19,-1.33,0
2020-08-14,-0.04,-0.11,1.09,0
2020-08-17,0.45,0.59,-1.92,0
2020-08-18,0.22,-1.07,-1.39,0
2020-08-19,-0.38,0.47,0.11,0
2020-08-20,0.31,-0.52,-1.55,0
2020-08-21,0.25,-1.09,-0.42,0
2020-08-24,0.92,-0.37,2.6,0
2020-08-25,0.36,0.16,-0.64,0
2020-08-26,1,-1.16,-1.76,0
2020-08-27,0.18,-0.34,0.94,0
2020-08-28,0.7,0.28,-0.23,0
2020-08-31,-0.04,-0.42,-1.75,0
2020-09-01,0.92,0.45,-0.31,0
2020-09-02,1.27,-0.5,-0.44,0
2020-09-03,-3.7,-0.24,2.61,0
2020-09-04,-0.87,-0.18,2.06,0
2020-09-08,-2.91,0.66,-0.29,0
2020-09-09,2.07,-0.18,-1.99,0
2020-09-10,-1.64,0.29,-0.05,0
2020-09-11,-0.06,-0.84,0.9,0
2020-09-14,1.59,1.16,-0.77,0
2020-09-15,0.57,-0.28,-1.42,0
2020-09-16,-0.39,0.77,1.32,0
2020-09-17,-0.85,0.36,0.2,0
2020-09-18,-0.88,0.8,-0.21,0
2020-09-21,-1.08,-2.02,-1.9,0
2020-09-22,1.02,-0.13,-1.65,0
2020-09-23,-2.48,-0.71,0.18,0
2020-09-24,0.25,-0.21,0.38,0
2020-09-25,1.72,0.14,-1.36,0
2020-09-28,1.66,0.73,1.03,0
2020-09-29,-0.42,0.74,-1.32,0
2020-09-30,0.79,-0.73,0.15,0
2020-10-01,0.79,1.04,-0.55,0
2020-10-02,-0.96,1.07,2.46,0
2020-10-05,1.93,1.02,-0.12,0
2020-10-06,-1.28,0.74,0.26,0
2020-10-07,1.84,0.53,0.23,0
2020-10-08,0.8,0.02,0.99,0
2020-10-09,0.92,0.01,-1.4,0
2020-10-12,1.53,-0.85,-0.06,0
2020-10-13,-0.41,0.17,-1.72,0
2020-10-14,-0.65,0.08,0.03,0
2020-10-15,-0.08,0.91,1.14,0
2020-10-16,-0.06,-0.18,0.08,0
2020-10-19,-1.53,0.36,0.29,0
2020-10-20,0.34,-0.23,1.24,0
2020-10-21,-0.36,-0.47,0.4,0
2020-10-22,0.67,0.59,1.03,0
2020-10-23,0.38,0.4,0.03,0
2020-10-26,-1.85,-0.3,-0.37,0
2020-10-27,-0.23,-0.1,-2.29,0
2020-10-28,-3.41,0,0.59,0
2020-10-29,1.13,0.17,0.25,0
2020-10-30,-1.45,-0.8,1.85,0
2020-11-02,1.17,0.53,0.99,0
2020-11-03,1.93,1.01,-0.18,0
2020-11-04,2.25,-1.53,-4.97,0
2020-11-05,2.13,1,0.51,0
2020-11-06,0.01,-0.89,-0.91,0
2020-11-09,0.87,0.8,6.73,0
2020-11-10,-0.17,1.54,2.22,0
2020-11-11,0.88,-0.6,-1.69,0
2020-11-12,-0.94,-0.27,-1.14,0
2020-11-13,1.31,0.65,1.08,0
2020-11-16,1.22,0.78,1.96,0
2020-11-17,-0.19,0.58,0.01,0
2020-11-18,-0.93,0,-0.04,0
2020-11-19,0.59,0.47,-0.8,0
2020-11-20,-0.51,0.68,-0.59,0
2020-11-23,0.83,0.87,1.53,0
2020-11-24,1.56,-0.08,2.76,0
2020-11-25,0.03,0,-1.34,0
2020-11-27,0.43,0.47,-1.62,0
2020-11-30,-0.53,-0.97,-2.05,0
2020-12-01,0.98,-0.28,0.55,0
2020-12-02,0.11,-0.09,1.07,0
2020-12-03,0.18,0.48,-0.06,0
2020-12-04,1.02,1.43,0.88,0
2020-12-07,0.03,0.24,-1.03,0
2020-12-08,0.47,1,-0.67,0
2020-12-09,-1.03,-0.06,1.28,0
2020-12-10,0.24,1.11,-0.46,0
2020-12-11,-0.2,-0.38,-0.7,0
2020-12-14,-0.28,0.57,-1.51,0
2020-12-15,1.28,1.09,0.34,0
2020-12-16,0.17,-0.44,-0.36,0
2020-12-17,0.79,0.71,-0.73,0
2020-12-18,-0.12,0.06,-1.15,0
2020-12-21,-0.23,0.1,-0.01,0
2020-12-22,0.06,1.19,-1.59,0
2020-12-23,0.1,0.42,1.98,0
2020-12-24,0.21,-0.4,-0.2,0
2020-12-28,0.46,-0.73,0.37,0
2020-12-29,-0.4,-1.53,0.24,0
2020-12-30,0.27,1,0.04,0
2020-12-31,0.39,-0.88,0.4,0
2021-01-04,-1.41,0.3,0.48,0
2021-01-05,0.86,1.24,0.48,0
2021-01-06,0.79,2.17,3.91,0
2021-01-07,1.76,0.3,-0.79,0
2021-01-08,0.51,-0.79,-1.32,0
2021-01-11,-0.52,0.28,1.24,0
2021-01-12,0.38,1.29,1.21,0
2021-01-13,0.07,-0.93,-0.46,0
2021-01-14,-0.11,2.06,1.08,0
2021-01-15,-0.86,-0.51,-0.75,0
2021-01-19,0.92,0.88,-0.79,0
2021-01-20,1.26,-0.39,-1.07,0
2021-01-21,-0.04,-0.54,-0.96,0
2021-01-22,-0.07,1.85,-0.09,0
2021-01-25,0.29,-0.06,-0.39,0
2021-01-26,-0.32,0.07,-0.05,0
2021-01-27,-2.53,1.35,1.55,0
2021-01-28,0.92,-1.93,-0.91,0
2021-01-29,-1.84,0.6,0.58,0
2021-02-01,1.73,0.94,-1.47,0
2021-02-02,1.48,-0.86,-1.07,0
2021-02-03,0.16,0.46,0.66,0
2021-02-04,1.23,0.38,0.36,0
2021-02-05,0.57,1.08,-0.48,0
2021-02-08,0.96,2.08,0.41,0
2021-02-09,0.05,0.73,-0.21,0
2021-02-10,-0.08,-0.49,0.62,0
2021-02-11,0.19,-0.2,-0.46,0
2021-02-12,0.49,-0.13,0.47,0
2021-02-16,-0.14,-0.59,1.87,0
2021-02-17,-0.21,-0.85,0.61,0
2021-02-18,-0.64,-1.56,-0.18,0
2021-02-19,0.16,1.79,0.72,0
2021-02-22,-1.13,-0.07,3.17,0
2021-02-23,-0.15,-1.27,0.89,0
2021-02-24,1.15,1.21,1.42,0
2021-02-25,-2.74,-1.13,0.91,0
2021-02-26,-0.28,0.64,-1.55,0
2021-03-01,2.63,1.15,0.15,0
2021-03-02,-1.05,-1.09,1.23,0
2021-03-03,-1.57,-0.19,3.56,0
2021-03-04,-1.7,-1.36,1.72,0
2021-03-05,1.85,0.2,0.63,0
2021-03-08,-0.67,0.62,3.68,0
2021-03-09,1.79,1.3,-3.24,0
2021-03-10,0.68,0.78,1.82,0
2021-03-11,1.43,1.58,-1.98,0
2021-03-12,0.1,0.14,1.29,0
2021-03-15,0.7,-0.08,-1.32,0
2021-03-16,-0.43,-1.12,-0.81,0
2021-03-17,0.33,0.45,0.32,0
2021-03-18,-1.88,-1.74,2.15,0
2021-03-19,0.25,1.25,-0.97,0
2021-03-22,0.55,-1.2,-2.24,0
2021-03-23,-1.17,-2.72,-1.05,0
2021-03-24,-1,-1.96,1.46,0
2021-03-25,0.67,1.68,1.4,0
2021-03-26,1.55,0.19,0.68,0
2021-03-29,-0.49,-2.4,-0.21,0
2021-03-30,-0.02,1.54,1,0
2021-03-31,0.63,1.1,-2.31,0
2021-04-01,1.27,0.29,-0.02,0
2021-04-05,1.27,-0.57,-0.72,0
2021-04-06,0.01,-0.32,0.1,0
2021-04-07,-0.12,-1.6,0.3,0
2021-04-08,0.62,0.6,-1.16,0
2021-04-09,0.65,-0.64,0.13,0
2021-04-12,-0.05,-0.6,0.58,0
2021-04-13,0.41,-0.3,-1.58,0
2021-04-14,-0.35,0.78,1.42,0
2021-04-15,1.04,-0.43,-1.18,0
2021-04-16,0.27,-0.35,0.64,0
2021-04-19,-0.73,-0.77,0.78,0
2021-04-20,-0.94,-1.18,-1.57,0
2021-04-21,1.11,1.38,0.11,0
2021-04-22,-0.77,0.65,-0.78,0
2021-04-23,1.26,0.74,0.7,0
2021-04-26,0.43,0.86,-0.48,0
2021-04-27,-0.03,-0.16,0.86,0
2021-04-28,-0.06,0.19,0.2,0
2021-04-29,0.39,-1.13,1.07,0
2021-04-30,-0.83,-0.42,-0.32,0
2021-05-03,0.17,0.46,1.7,0
2021-05-04,-0.89,-0.75,1.99,0
2021-05-05,-0.05,-0.46,1.33,0
2021-05-06,0.48,-0.82,1.21,0
2021-05-07,0.84,0.43,-0.1,0
2021-05-10,-1.36,-1.68,1.69,0
2021-05-11,-0.63,0.93,-0.86,0
2021-05-12,-2.34,-1.32,0.7,0
2021-05-13,1.02,0.26,1.14,0
2021-05-14,1.81,0.98,-0.14,0
2021-05-17,-0.24,0.6,0.82,0
2021-05-18,-0.69,0.24,-0.92,0
2021-05-19,-0.34,-0.38,-0.45,0
2021-05-20,1.15,-0.12,-1.4,0
2021-05-21,-0.04,0.22,0.98,0
2021-05-24,0.99,-0.38,-0.67,0
2021-05-25,-0.3,-0.63,-1.2,0
2021-05-26,0.47,1.77,0.55,0
2021-05-27,0.28,0.8,0.95,0
2021-05-28,0.04,-0.29,-0.32,0
2021-06-01,0.03,1.13,1.43,0
2021-06-02,0.12,-0.13,0.34,0
2021-06-03,-0.53,-0.54,0.73,0
2021-06-04,0.89,-0.36,-0.9,0
2021-06-07,0.15,1.53,-0.91,0
2021-06-08,0.19,1.15,-0.31,0
2021-06-09,-0.3,-0.29,-0.84,0
2021-06-10,0.4,-0.91,-2.03,0
2021-06-11,0.37,0.67,0.18,0
2021-06-14,0.15,-0.31,-1.62,0
2021-06-15,-0.3,-0.02,1.3,0
2021-06-16,-0.45,0.44,0.19,0
2021-06-17,0.01,-0.5,-3.57,0
2021-06-18,-1.22,-0.43,-1.45,0
2021-06-21,1.35,0.6,1.04,0
2021-06-22,0.58,0.05,-0.46,0
2021-06-23,0.01,0.54,-0.28,0
2021-06-24,0.69,0.65,0.25,0
2021-06-25,0.32,-0.71,0.44,0
2021-06-28,0.22,-0.49,-1.59,0
2021-06-29,0,-0.25,-0.28,0
2021-06-30,0.07,-0.13,0.77,0
2021-07-01,0.43,0.37,0.41,0
2021-07-02,0.56,-1.32,-0.72,0
2021-07-06,-0.28,-0.65,-2,0
2021-07-07,0.09,-0.91,0.08,0
2021-07-08,-0.86,0.15,-0.77,0
2021-07-09,1.25,0.61,1.57,0
2021-07-12,0.23,-0.17,0.58,0
2021-07-13,-0.56,-1.13,-0.42,0
2021-07-14,-0.26,-1.16,0.34,0
2021-07-15,-0.38,-0.35,0.79,0
2021-07-16,-0.77,-0.22,-1.28,0
2021-07-19,-1.42,0.31,-1.75,0
2021-07-20,1.69,0.78,0.16,0
2021-07-21,0.95,0.62,0.81,0
2021-07-22,0.09,-1.33,-1.01,0
2021-07-23,0.98,-0.09,-0.48,0
2021-07-26,0.18,-0.1,1.34,0
2021-07-27,-0.66,-0.64,0.58,0
2021-07-28,0.27,1.42,-0.66,0
2021-07-29,0.41,-0.01,0.94,0
2021-07-30,-0.65,-0.08,-0.17,0
2021-08-02,-0.12,-0.15,-0.41,0
2021-08-03,0.73,-0.47,0.92,0
2021-08-04,-0.39,-0.61,-1.58,0
2021-08-05,0.74,1.13,-0.09,0
2021-08-06,0.09,0.04,1.9,0
2021-08-09,0.01,-0.36,-0.27,0
2021-08-10,0.06,-0.02,1.85,0
2021-08-11,0.19,-0.02,1.41,0
2021-08-12,0.24,-0.59,-0.39,0
2021-08-13,0,-0.85,-0.24,0
2021-08-16,-0.05,-0.84,0.04,0
2021-08-17,-0.8,-0.44,-0.12,0
2021-08-18,-0.95,0.1,-0.17,0
2021-08-19,-0.15,-0.78,-0.83,0
2021-08-20,0.92,0.99,-0.47,0
